Name,Country,Overall(O),Pace(P),Shooting(S),Passing(A),Dribbling(R),Defense(D)
Lionel Messi,Argentina,93,85,92,91,95,40
Cristiano Ronaldo,Portugal,91,87,93,82,88,45
Kylian Mbappé,France,92,97,89,80,94,40
Kevin De Bruyne,Belgium,91,76,86,93,88,60
Virgil van Dijk,Netherlands,90,75,60,70,72,92
Neymar Jr,Brazil,90,91,85,86,94,38
Robert Lewandowski,Poland,91,78,94,82,85,45
Mohamed Salah,Egypt,90,93,89,81,90,50
Luka Modrić,Croatia,88,72,78,89,86,65
Sergio Ramos,Spain,88,74,70,78,75,90
Erling Haaland,Norway,90,89,92,75,82,50
Harry Kane,England,89,74,91,84,82,48
Joshua Kimmich,Germany,88,72,78,89,84,80
Bruno Fernandes,Portugal,88,77,84,89,86,65
Karim Benzema,France,89,78,90,84,85,50
Casemiro,Brazil,88,70,72,78,76,88
Andrew Robertson,Scotland,87,85,65,80,82,85
Jan Oblak,Slovenia,91,45,35,70,55,90
Thibaut Courtois,Belgium,90,46,36,72,57,89
Manuel Neuer,Germany,89,50,40,75,60,88
Raphaël Varane,France,87,75,62,76,70,88
Marquinhos,Brazil,87,74,61,77,71,88
João Cancelo,Portugal,87,84,68,82,85,80
Achraf Hakimi,Morocco,86,92,70,80,85,78
N’Golo Kanté,France,88,78,65,80,82,90
Paul Pogba,France,86,74,80,85,84,70
Bernardo Silva,Portugal,87,82,78,86,90,60
Phil Foden,England,85,86,80,84,88,55
Pedri,Spain,85,82,74,86,88,60
Frenkie de Jong,Netherlands,86,78,72,85,84,70
Sadio Mané,Senegal,89,92,85,82,90,55
Kingsley Coman,France,85,90,80,80,88,50
Serge Gnabry,Germany,85,88,82,80,87,52
Vinícius Jr,Brazil,86,94,80,78,92,45
Antoine Griezmann,France,86,80,84,82,86,55
Ángel Di María,Argentina,85,85,82,82,88,50
Luis Suárez,Uruguay,87,74,88,78,84,48
Fernando Torres,Spain,86,84,86,76,84,48
David Villa,Spain,87,80,88,78,84,50
Xavi Hernández,Spain,90,70,78,94,88,65
Andrés Iniesta,Spain,90,72,76,93,90,60
Ronaldinho,Brazil,91,88,86,90,95,45
Ronaldo Nazário,Brazil,92,89,96,91,92,55
Paolo Maldini,Italy,85,82,79,89,87,94
